iter	Passed	Remaining
401	19890	29588
402	19919	29509
403	19950	29431
404	19983	29358
405	20013	29280
406	20044	29205
407	20077	29132
408	20111	29060
409	20144	28988
410	20191	28936
411	20224	28864
412	20258	28792
413	20297	28729
414	20337	28668
415	20384	28617
416	20437	28573
417	20482	28518
418	20523	28459
419	20558	28390
420	20606	28339
421	20650	28284
422	20681	28211
423	20712	28137
424	20743	28064
425	20775	27992
426	20804	27917
427	20837	27847
428	20868	27776
429	20898	27702
430	20932	27634
431	20963	27562
432	20994	27491
433	21033	27430
434	21078	27377
435	21111	27309
436	21154	27253
437	21194	27194
438	21240	27143
439	21278	27081
440	21313	27016
441	21352	26955
442	21396	26902
443	21452	26863
444	21500	26814
445	21543	26760
446	21585	26704
447	21628	26649
448	21663	26584
449	21703	26526
450	21748	26474
451	21788	26415
452	21828	26358
453	21858	26287
454	21885	26215
455	21917	26147
456	21951	26082
457	21999	26034
458	22045	25983
459	22097	25940
460	22143	25890
461	22193	25844
462	22247	25803
463	22294	25754
464	22326	25687
465	22356	25618
466	22383	25547
467	22413	25478
468	22447	25414
469	22478	25347
470	22508	25279
471	22547	25223
472	22594	25173
473	22641	25125
474	22697	25086
475	22751	25045
476	22796	24994
477	22842	24944
478	22893	24901
479	22990	24906
480	23033	24853
481	23067	24789
482	23097	24723
483	23132	24662
484	23164	24597
485	23192	24528
486	23227	24467
487	23255	24399
488	23286	24334
489	23324	24276
490	23362	24218
491	23391	24152
492	23421	24086
493	23448	24018
494	23476	23950
495	23508	23887
496	23536	23820
497	23568	23757
498	23597	23692
499	23630	23630
500	23665	23571
501	23692	23504
502	23726	23443
503	23758	23381
504	23785	23314
505	23828	23263
506	23858	23199
507	23887	23134
508	23917	23071
509	23946	23007
510	23976	22944
511	24017	22891
512	24047	22829
513	24077	22766
514	24109	22705
515	24138	22641
516	24174	22584
517	24216	22533
518	24249	22473
519	24285	22417
520	24323	22362
521	24357	22304
522	24389	22244
523	24422	22185
524	24455	22126
525	24487	22066
526	24522	22010
527	24565	21959
528	24603	21906
529	24640	21850
530	24672	21792
531	24704	21732
532	24735	21672
533	24768	21614
534	24800	21555
535	24834	21498
536	24870	21443
537	24912	21393
538	24959	21347
539	25011	21306
540	25103	21298
541	25148	21251
542	25182	21193
543	25225	21144
544	25264	21092
545	25314	21049
546	25360	21002
547	25404	20954
548	25449	20906
549	25495	20860
550	25535	20808
551	25576	20757
552	25619	20708
553	25660	20658
554	25698	20604
555	25736	20552
556	25776	20500
557	25828	20458
558	25872	20411
559	25918	20364
560	25966	20319
561	26008	20269
562	26046	20217
563	26086	20166
564	26129	20117
565	26162	20061
566	26197	20006
567	26230	19949
568	26265	19895
569	26306	19845
570	26356	19802
571	26393	19748
572	26424	19691
573	26459	19637
574	26491	19580
575	26541	19537
576	26577	19484
577	26623	19437
578	26670	19392
579	26705	19338
580	26737	19282
581	26768	19225
582	26802	19171
583	26833	19114
584	26867	19060
585	26904	19007
586	26941	18955
587	26973	18899
588	27010	18847
589	27037	18789
590	27068	18732
591	27099	18677
592	27127	18618
593	27157	18562
594	27191	18508
595	27219	18450
596	27249	18394
597	27277	18337
598	27312	18284
599	27347	18231
600	27378	18176
601	27416	18125
602	27452	18074
603	27487	18021
604	27519	17967
605	27554	17915
606	27583	17858
607	27611	17802
608	27640	17746
609	27668	17690
610	27708	17640
611	27746	17590
612	27775	17535
613	27809	17482
614	27842	17429
615	27872	17374
616	27907	17323
617	27945	17273
618	27976	17219
619	28006	17165
620	28036	17111
621	28064	17055
622	28092	16999
623	28119	16943
624	28148	16889
625	28176	16834
626	28206	16779
627	28235	16725
628	28266	16672
629	28295	16618
630	28323	16563
631	28355	16510
632	28412	16473
633	28459	16429
634	28511	16388
635	28557	16343
636	28603	16299
637	28653	16257
638	28702	16215
639	28750	16172
640	28790	16124
641	28826	16074
642	28866	16027
643	28907	15979
644	28950	15934
645	28990	15886
646	29025	15836
647	29062	15786
648	29102	15739
649	29146	15694
650	29183	15645
651	29218	15594
652	29260	15548
653	29310	15506
654	29355	15462
655	29405	15420
656	29464	15382
657	29505	15335
658	29548	15289
659	29588	15242
660	29625	15193
661	29663	15145
662	29704	15098
663	29750	15054
664	29797	15010
665	29842	14965
666	29882	14918
667	29917	14869
668	29966	14826
669	30026	14789
670	30097	14757
671	30151	14716
672	30228	14687
673	30298	14654
674	30364	14619
675	30491	14614
676	30550	14575
677	30592	14529
678	30627	14479
679	30660	14428
680	30693	14377
681	30723	14325
682	30754	14274
683	30788	14224
684	30824	14174
685	30855	14123
686	30893	14075
687	30926	14024
688	30956	13972
689	30993	13924
690	31036	13878
691	31070	13829
692	31104	13779
693	31139	13729
694	31170	13679
695	31201	13628
696	31234	13578
697	31266	13528
698	31296	13476
699	31337	13430
700	31369	13379
701	31413	13335
702	31446	13285
703	31483	13237
704	31534	13195
705	31586	13153
706	31637	13111
707	31700	13074
708	31904	13094
709	31968	13057
710	32131	13060
711	32217	13031
712	32331	13014
713	32436	12992
714	32535	12968
715	32642	12947
716	32760	12930
717	32819	12889
718	32971	12885
719	33126	12882
720	33162	12832
721	33195	12781
722	33224	12729
723	33261	12679
724	33297	12630
725	33326	12577
726	33362	12528
727	33406	12481
728	33441	12431
729	33473	12380
730	33510	12331
731	33544	12281
732	33576	12230
733	33609	12179
734	33641	12129
735	33673	12078
736	33706	12028
737	33738	11977
738	33766	11925
739	33793	11873
740	33824	11822
741	33852	11770
742	33881	11719
743	33910	11668
744	33940	11617
745	33968	11565
746	34001	11515
747	34042	11468
748	34085	11422
749	34129	11376
750	34173	11330
751	34217	11284
752	34261	11238
753	34305	11192
754	34372	11153
755	34427	11111
756	34481	11068
757	34519	11020
758	34560	10973
759	34603	10927
760	34649	10882
761	34699	10837
762	34739	10790
763	34780	10743
764	34820	10696
765	34863	10650
766	34909	10604
767	34954	10559
768	35001	10514
769	35049	10469
770	35099	10425
771	35154	10382
772	35217	10342
773	35283	10302
774	35355	10264
775	35421	10224
776	35516	10193
777	35607	10160
778	35675	10121
779	35734	10079
780	35785	10034
781	35826	9987
782	35881	9944
783	35919	9896
784	35961	9849
785	36006	9803
786	36053	9757
787	36103	9713
788	36154	9668
789	36196	9621
790	36239	9575
791	36276	9527
792	36307	9477
793	36345	9429
794	36385	9382
795	36416	9332
796	36449	9283
797	36487	9236
798	36528	9189
799	36559	9139
800	36595	9091
801	36634	9044
802	36669	8996
803	36706	8948
804	36745	8901
805	36788	8854
806	36828	8807
807	36862	8759
808	36898	8711
809	36938	8664
810	36975	8616
811	37003	8567
812	37035	8518
813	37068	8470
814	37099	8421
815	37135	8373
816	37173	8326
817	37201	8277
818	37237	8229
819	37265	8180
820	37293	8130
821	37321	8081
822	37353	8033
823	37382	7984
824	37410	7935
825	37437	7886
826	37465	7837
827	37494	7788
828	37523	7740
829	37550	7691
830	37580	7642
831	37611	7594
832	37643	7546
833	37675	7498
834	37705	7450
835	37738	7403
836	37781	7357
837	37825	7312
838	37859	7265
839	37895	7218
840	37935	7172
841	37980	7126
842	38017	7080
843	38060	7034
844	38099	6988
845	38138	6942
846	38178	6896
847	38216	6850
848	38256	6804
849	38297	6758
850	38345	6713
851	38388	6668
852	38429	6622
853	38471	6577
854	38514	6531
855	38549	6484
856	38588	6438
857	38631	6393
858	38677	6348
859	38716	6302
860	38752	6256
861	38788	6209
862	38829	6164
863	38876	6119
864	38912	6073
865	38950	6026
866	38991	5981
867	39034	5936
868	39075	5890
869	39118	5845
870	39170	5801
871	39215	5756
872	39258	5711
873	39297	5665
874	39344	5620
875	39389	5575
876	39441	5531
877	39478	5485
878	39513	5439
879	39552	5393
880	39589	5347
881	39629	5301
882	39675	5257
883	39715	5211
884	39754	5165
885	39792	5120
886	39831	5074
887	39871	5028
888	39908	4983
889	39936	4936
890	39969	4889
891	40001	4843
892	40032	4796
893	40067	4750
894	40102	4704
895	40133	4658
896	40165	4612
897	40196	4565
898	40227	4519
899	40261	4473
900	40297	4427
901	40353	4384
902	40389	4338
903	40438	4294
904	40477	4249
905	40517	4203
906	40554	4158
907	40588	4112
908	40622	4066
909	40656	4021
910	40687	3975
911	40722	3929
912	40769	3884
913	40815	3840
914	40848	3794
915	40880	3748
916	40914	3703
917	40944	3657
918	40972	3611
919	41003	3565
920	41037	3520
921	41070	3474
922	41097	3428
923	41124	3382
924	41165	3337
925	41197	3292
926	41232	3247
927	41270	3202
928	41326	3158
929	41369	3113
930	41414	3069
931	41464	3025
932	41512	2981
933	41555	2936
934	41592	2891
935	41630	2846
936	41668	2801
937	41703	2756
938	41743	2711
939	41776	2666
940	41814	2621
941	41857	2577
942	41900	2532
943	41938	2487
944	41977	2443
945	42016	2398
946	42063	2354
947	42113	2309
948	42159	2265
949	42204	2221
950	42248	2176
951	42289	2132
952	42338	2088
953	42410	2044
954	42451	2000
955	42546	1958
956	42584	1913
957	42624	1868
958	42674	1824
959	42753	1781
960	42793	1736
961	42839	1692
962	42873	1647
963	42906	1602
964	42936	1557
965	42969	1512
966	43007	1467
967	43057	1423
968	43120	1379
969	43177	1335
970	43216	1290
971	43251	1245
972	43280	1201
973	43329	1156
974	43366	1111
975	43403	1067
976	43435	1022
977	43467	977
978	43500	933
979	43531	888
980	43563	843
981	43592	799
982	43621	754
983	43652	709
984	43682	665
985	43714	620
986	43745	576
987	43774	531
988	43807	487
989	43837	442
990	43868	398
991	43899	354
992	43931	309
993	43968	265
994	44015	221
995	44057	176
996	44101	132
997	44143	88
998	44172	44
999	44214	0
